item,arm,layer,readout,value
fact05,report,20,top5,-18.176843643188477
fact05,exit,20,top5,-22.906463623046875
fact05,true,20,top5,-18.95762825012207
fact05,neutral,20,top5,-14.224257469177246
fact05,enact_norecord,20,top5,-29.545408248901367
fact06,enact,20,top5,-31.293479919433594
fact06,report,20,top5,-23.971837997436523
fact06,exit,20,top5,-18.096298217773438
fact06,true,20,top5,-22.392154693603516
fact06,neutral,20,top5,-23.678020477294922
fact06,enact_norecord,20,top5,-52.3314094543457
refusal01,enact,20,top5,-13.17989444732666
refusal01,report,20,top5,-20.850126266479492
refusal01,exit,20,top5,-18.117202758789062
refusal01,true,20,top5,-11.874482154846191
refusal01,neutral,20,top5,-18.811975479125977
refusal01,enact_norecord,20,top5,-13.195517539978027
refusal02,enact,20,top5,0.0
refusal02,report,20,top5,-7.285426139831543
refusal02,exit,20,top5,-14.274879455566406
refusal02,true,20,top5,-4.845514297485352
refusal02,neutral,20,top5,0.0
refusal02,enact_norecord,20,top5,-30.736324310302734
refusal03,enact,20,top5,-10.38759994506836
refusal03,report,20,top5,-13.150135040283203
refusal03,exit,20,top5,-10.681092262268066
refusal03,true,20,top5,-8.887446403503418
refusal03,neutral,20,top5,-12.629714012145996
refusal03,enact_norecord,20,top5,-13.413521766662598
refusal04,enact,20,top5,0.0
refusal04,report,20,top5,0.0
refusal04,exit,20,top5,0.0
refusal04,true,20,top5,0.0
refusal04,neutral,20,top5,-12.776084899902344
refusal04,enact_norecord,20,top5,-6.918076038360596
refusal05,enact,20,top5,-9.394805908203125
refusal05,report,20,top5,-15.1865816116333
refusal05,exit,20,top5,-14.561320304870605
refusal05,true,20,top5,0.0
refusal05,neutral,20,top5,-17.593414306640625
refusal05,enact_norecord,20,top5,-33.22690963745117
refusal06,enact,20,top5,-17.919633865356445
refusal06,report,20,top5,-20.6214542388916
refusal06,exit,20,top5,-16.92072105407715
refusal06,true,20,top5,0.0
refusal06,neutral,20,top5,-14.876561164855957
refusal06,enact_norecord,20,top5,-38.20432662963867
stance01,enact,20,top5,-20.251649856567383
stance01,report,20,top5,-25.00127410888672
stance01,exit,20,top5,-17.679813385009766
stance01,true,20,top5,-16.12137222290039
stance01,neutral,20,top5,-17.094858169555664
stance01,enact_norecord,20,top5,-30.25441551208496
stance02,enact,20,top5,-23.190868377685547
stance02,report,20,top5,-24.266836166381836
stance02,exit,20,top5,-15.585503578186035
stance02,true,20,top5,-18.468732833862305
